productName,itemId,commissionRate,commission,price,sales,imageUrl,shopName,productLink,offerLink,ratingStar
Mini Aspirador de Pó Portátil Automotivo Casa Sem Fio 3 em 1 Recarregável Potente 6000Pa,23093489477,0.07,2.0286,28.98,8972,https://cf.shopee.com.br/file/br-11134207-7r98o-m6drf7xctphs1a,Mega TechStore,https://shopee.com.br/product/872424585/23093489477,https://s.shopee.com.br/2qJ5umpnLR,4.7
Tira manchas alvejante 1kg + Percarbonato de sódio 1kg,23193680985,0.09,2.25,25,36617,https://cf.shopee.com.br/file/br-11134207-7r98o-m5q7asdx9eiad2,Ans Agrária,https://shopee.com.br/product/512962451/23193680985,https://s.shopee.com.br/30cW75pA0U,4.8
Inox Prata Torneira com chuveiro com rotação de 360° Cozinha Luxo Parede Promoção,21097736963,0.23,7.3577,31.99,16004,https://cf.shopee.com.br/file/br-11134207-7r98o-m7w5vzxxa41d1f,INFINITY COMERCIO DE VARIEDADES,https://shopee.com.br/product/1003085235/21097736963,https://s.shopee.com.br/3AvwJOoWfX,4.8
ROMANTIC CROWN Meia-Calça Térmica Forrada Peluciada Translúcida De Lã Quente Feminina Para Inverno,23097434087,0.08,2.3992,29.99,49274,https://cf.shopee.com.br/file/br-11134207-7r98o-lvzh39z154za59,Romantic Crown,https://shopee.com.br/product/1198407784/23097434087,https://s.shopee.com.br/7KlVH3YfDM,4.9
Mesas de Cabeceira Retro para Quarto Casal ou Solteiro Nicho Decoração Palma,21599248399,0.08,2.792,34.9,16249,https://cf.shopee.com.br/file/sg-11134201-7rd6x-luv5vclgwaxb45,Eggers Móveis Modulados,https://shopee.com.br/product/594157579/21599248399,https://s.shopee.com.br/7V4vTMY1sP,4.8
Calça Pantalona Alfaiataria Premium Com Bolso PROMOÇÃO,44451988896,0.03,1.137,37.9,5739,https://cf.shopee.com.br/file/br-11134207-7r98o-ma4qg4onmdjb35,valiosa fashion moda,https://shopee.com.br/product/1077139873/44451988896,https://s.shopee.com.br/7fOLffXOXS,4.7
Conjunto 6 Copos de Vidro 190ml Amazon Nadir,22893597310,0.03,0.3897,12.99,1212,https://cf.shopee.com.br/file/sg-11134201-7ra1q-m4rhhhf6d4qp18,Casa & Vídeo,https://shopee.com.br/product/412968566/22893597310,https://s.shopee.com.br/7phlryWlCV,4.8
Castanha de Caju 1Kg (Com ou sem Sal) - P&P,23895716611,0.08,4.792,59.9,19494,https://cf.shopee.com.br/file/efbcc2a5f6b90cd3020e763f5e243a40,P&P FIT,https://shopee.com.br/product/394192376/23895716611,https://s.shopee.com.br/6fVoTpbCZI,4.7
Relógio À Prova D'água LED Digital de Pulso Esportivo feminino Masculino Ultra9 Esporte Pulseira De Silicone novo 2024,23397324970,0.03,0.417,13.9,1755,https://cf.shopee.com.br/file/br-11134207-7r98o-lr7g6pzaeed783,T&TBem_vindo.br,https://shopee.com.br/product/465639879/23397324970,https://s.shopee.com.br/6ppEg8aZEL,4.3
Kit com 3 Quadros Decorativos + Frase Abençoados por Deus - Decoração para Sala e Quarto em mdf,22893393971,0.13,1.677,12.9,6508,https://cf.shopee.com.br/file/br-11134207-7r98o-m0oxl1vahn5tf1,MQuadros Decor,https://shopee.com.br/product/494422638/22893393971,https://s.shopee.com.br/708esRZvtO,4.7
Kit 10 Petisqueira Barquinha Canoa Petiscos Churrasco Festa Frios Para Servir Amendoim Caldo Branca,22698377160,0.07,1.7486,24.98,11866,https://cf.shopee.com.br/file/br-11134207-7r98o-mayetijosmihf1,A T E N A S,https://shopee.com.br/product/1265597786/22698377160,https://s.shopee.com.br/7AS54kZIYR,4.8
Lixeira Suspensa Multiuso 9L Com Tampa Retrátil Sem Furo Porta Armário Para Cozinha Banheiro,23092480203,0.08,2.4792,30.99,3265,https://cf.shopee.com.br/file/br-11134207-7r98o-lm7nuwbtr03bc9,BOMM FAMILIA,https://shopee.com.br/product/979724994/23092480203,https://s.shopee.com.br/60G7gbdjvE,4.8
Kit 10 Marmita Potes 800ml com Travas Laterais BPA FREE - Alimentos organizadores de congelador,22998068286,0.03,1.1097,36.99,22430,https://cf.shopee.com.br/file/br-11134207-7r98o-m8z01lbiwfluba,glmixutilidades02_,https://shopee.com.br/product/1340752713/22998068286,https://s.shopee.com.br/6AZXsud6aH,4.7
KIT Calcinha Calçola Cintura Alta Microfibra Lisa Redutora Luxo Lateral Larga Conforto Lingerie,22698367801,0.13,3.497,26.9,2735,https://cf.shopee.com.br/file/sg-11134201-7renx-m80vcyxe2r7af1,Friburgo Oversize,https://shopee.com.br/product/1271897145/22698367801,https://s.shopee.com.br/6Ksy5DcTFK,4.7
Mini carregador portatil power bank para celular IPNHONE Samsung Xiaomi,22497163394,0.11,3.0679,27.89,2504,https://cf.shopee.com.br/file/br-11134207-7r98o-loibrjthumz0b1,Inovar Top,https://shopee.com.br/product/944725778/22497163394,https://s.shopee.com.br/6VCOHWbpuN,4.6
Areia Catbio Biodegradável 4 Kg - Max Clean - Grãos Finos,22996121313,0.07,3.143,44.9,16770,https://cf.shopee.com.br/file/br-11134207-7r98o-m605sjhkzmtse8,petpremier,https://shopee.com.br/product/1023760886/22996121313,https://s.shopee.com.br/5L0QtNgHHA,4.9
kit Coala Home Chá Branco,20697874559,0.15,11.49,76.6,22346,https://cf.shopee.com.br/file/sg-11134201-7rdwg-m0j6jm49q7nyd4,Coala Essências Oficial,https://shopee.com.br/product/1177903362/20697874559,https://s.shopee.com.br/5VJr5gfdwD,4.9
Travesseiro MAGNÉTICO com Infravermelho Altura Médio Ortopédico  Anti ronco Anatômico Alivia Dor,22793263480,0.03,0.717,23.9,8164,https://cf.shopee.com.br/file/br-11134207-7r98o-lzs2iaeznrthc5,SUPPREMO SONO,https://shopee.com.br/product/1139157240/22793263480,https://s.shopee.com.br/5fdHHzf0bG,4.4
Kit  Fone 13 TWS Sem Fio Bluetooth 5.0 Air Pro 3 Fone De Ouvido Esportivo Com Microfone MING,22693557231,0.08,1.664,20.8,8285,https://cf.shopee.com.br/file/br-11134207-7r98o-m329iu8jc1s51a,Super store!,https://shopee.com.br/product/997025684/22693557231,https://s.shopee.com.br/5pwhUIeNGJ,4.6
Lola Cosmetics Argan Oil Óleo Capilar 50ml,18760178533,0.12,2.148,17.9,10186,https://cf.shopee.com.br/file/sg-11134201-22110-k9xhfx0wshjv41,AMOBELEZA,https://shopee.com.br/product/681570887/18760178533,https://s.shopee.com.br/9zmGRxOVo8,5
"Kit com 6,3,1 pares de meias/meias soquete térmica grossa flanelada fleece inverno frio intenso",22797608073,0.03,0.2694,8.98,1663,https://cf.shopee.com.br/file/sg-11134201-7rd68-lx0jgig8q4ps48,Amor 2 .presentes,https://shopee.com.br/product/1161888171/22797608073,https://s.shopee.com.br/3VYmi14r7J,4.8
Cobertor Casal Queen Fofão Coberta Luxuosa Frio Inverno Antialérgica *Oferta*,23994031816,0.08,3.592,44.9,602,https://cf.shopee.com.br/file/sg-11134201-7raur-ma4a3vvx2g27af,Ofertas Do Lar,https://shopee.com.br/product/487255442/23994031816,https://s.shopee.com.br/3fsCuK4DmM,3.2
"Kit 10 Limpador de máquina de lavar, comprimido efervescente sólido para remover manchas",23892665618,0.15,3.2985,21.99,16171,https://cf.shopee.com.br/file/br-11134207-7r98o-lv98cwwitsix1e,Inovar Top,https://shopee.com.br/product/944725778/23892665618,https://s.shopee.com.br/3qBd6d3aRP,4.7
