productName,itemId,commissionRate,commission,price,sales,imageUrl,shopName,productLink,offerLink,ratingStar
Relógio Retrô Wr Unissex Prata Fundo Branco Preto Digital Led Vintage Feminino,23093411756,0.1,1.989,19.89,4181,https://cf.shopee.com.br/file/br-11134207-7r98o-m13faktasnxa44,GKIMPORT01,https://shopee.com.br/product/423604908/23093411756,https://s.shopee.com.br/2B2jcrDO57,4.7
Kit facas de cozinha/Churrasco Profissional Antiaderente 6 Peças Preto/colorido,23692960598,0.09,1.341,14.9,5714,https://cf.shopee.com.br/file/sg-11134201-7rd4k-lu5etfkbmlecf4,ZSZ_brasil,https://shopee.com.br/product/390307022/23692960598,https://s.shopee.com.br/2LM9pACkkA,4.6
Ou Isto ou Aquilo – Cecília Meireles | Edição Comemorativa 60 Anos | Capa Especial!,22498178651,0.08,2.216,27.7,16,https://cf.shopee.com.br/file/br-11134207-7r98o-m5lrit47yr2d6e,Conectando Livros & Pessoas,https://shopee.com.br/product/1433014395/22498178651,https://s.shopee.com.br/2Vfa1TC7PD,5
05 Suporte Multiuso De Parede Para Celular Controle Plástico Para Carregar Remoto Um Slot,23792413910,0.23,1.6652,7.24,4649,https://cf.shopee.com.br/file/br-11134207-7r98o-ma0q4zym5xkp00,1000 Coisas Variedades,https://shopee.com.br/product/1007375842/23792413910,https://s.shopee.com.br/yF2sLdTk,4.9
Kit Hidratação e Limpeza Antimanchas,23493689424,0.21,10.4979,49.99,578,https://cf.shopee.com.br/file/br-11134207-7r98o-m5vnihlk0lv69b,Garnier Oficial,https://shopee.com.br/product/690252664/23493689424,https://s.shopee.com.br/BHfFBL08n,4.9
Chaleira Elétrica Térmica Unitermi Inox 1.8 Litros Com Tampa,23192977653,0.13,7.124,54.8,2038,https://cf.shopee.com.br/file/br-11134207-7r98o-lug9vkxznp0l12,Aura do Brasil ,https://shopee.com.br/product/323288678/23192977653,https://s.shopee.com.br/Lb5RUKMnq,4.8
Escova De Limpeza Ajustável Janela Banheiro e Cozinha Ferramenta 3 em 1 Recarregável,20797473907,0.03,2.3997,79.99,7344,https://cf.shopee.com.br/file/br-11134207-7r98o-lqp8s8f2ez2bc0,DAFUSHOP_brasil,https://shopee.com.br/product/328666563/20797473907,https://s.shopee.com.br/VuVdnJjSt,4.8
Tapete de Banheiro Antiderrapante Bolinha Macarrão Várias Cores,21034795993,0.11,1.9679,17.89,1830,https://cf.shopee.com.br/file/sg-11134201-22100-yg4ftmeqs8iv0a,Magazine Goiás,https://shopee.com.br/product/322387387/21034795993,https://s.shopee.com.br/gDvq6J67w,4.9
Kit 18 Pares Meias Infantil Masculina e Feminina 0 A 10 Anos Ótima Qualidade e Confortável,23393139481,0.03,0.657,21.9,9471,https://cf.shopee.com.br/file/br-11134207-7r98o-lxr4jc7wi56n6c,Clickmeias,https://shopee.com.br/product/1210426472/23393139481,https://s.shopee.com.br/qXM2PISmz,4.8
Kit 5 ToalhaS Grossa Linda  Luxo BORDADA,14390533302,0.12,4.4388,36.99,1431,https://cf.shopee.com.br/file/br-11134207-7r98o-lqmid972ahpbbb,Deluxe AR,https://shopee.com.br/product/286755344/14390533302,https://s.shopee.com.br/10qmEiHpS2,4.1
